average,date,highest,lowest,order_count,volume
984000000,2023-06-02,984600000,972050000,116,169
966100000,2023-06-03,968300000,956500000,157,200
954000000,2023-06-04,960000000,930000000,135,206
949200000,2023-06-05,950000000,940000000,133,182
946700000,2023-06-06,949800000,840000000,132,183
939900000,2023-06-07,947900000,939600000,91,117
923986363.64,2023-06-08,937800000,846200000,66,88
939900000,2023-06-09,939900000,939900000,100,132
939900000,2023-06-10,948000000,935800000,114,184
954400000,2023-06-11,956500000,950000000,82,107
873350000,2023-06-12,955500000,848900000,102,174
917084722.22,2023-06-13,949600000,840000000,66,72
916961538.46,2023-06-14,928700000,841700000,66,91
920900000,2023-06-15,922700000,842000000,83,101
911700000,2023-06-16,917800000,905000000,111,132
906950000,2023-06-17,919400000,831900000,148,190
899100000,2023-06-18,899900000,861000000,125,192
902900000,2023-06-19,909600000,899100000,80,117
897850000,2023-06-20,900000000,846100000,106,144
899914893.62,2023-06-21,909400000,859100000,70,94
888000000,2023-06-22,897500000,850000000,113,164
895000000,2023-06-23,906200000,888000000,121,169
885000000,2023-06-24,891000000,878000000,80,105
879900000,2023-06-25,880400000,877100000,119,193
880000000,2023-06-26,880500000,876900000,120,185
878550000,2023-06-27,888000000,810000000,163,230
889500000,2023-06-28,889700000,880000000,93,136
879100000,2023-06-29,887500000,878900000,67,121
903200000,2023-06-30,903400000,902100000,88,116
924900000,2023-07-01,944900000,908500000,87,116
939600000,2023-07-02,944800000,929300000,104,128
938600000,2023-07-03,938800000,938400000,127,187
900000000,2023-07-04,900000000,895000000,73,155
909800000,2023-07-05,914300000,890000000,98,140
929200000,2023-07-06,938800000,927300000,108,154
917694791.67,2023-07-07,948900000,910000000,58,96
919300000,2023-07-08,931000000,868100000,94,198
920000000,2023-07-09,920750000,915800000,98,131
908916000,2023-07-10,922300000,863050000,81,100
921000000,2023-07-11,924800000,909100000,102,137
907073972.6,2023-07-12,924700000,869100000,53,73
908200000,2023-07-13,909900000,907700000,81,101
900978000,2023-07-14,915600000,869000000,68,100
913645569.62,2023-07-15,919200000,861400000,70,79
930118750,2023-07-16,935700000,923200000,65,80
918257500,2023-07-17,925000000,876100000,57,80
921182954.55,2023-07-18,928200000,918000000,64,88
928400000,2023-07-19,928900000,915000000,72,104
932800000,2023-07-20,935600000,931200000,87,153
863300000,2023-07-21,936600000,821000000,57,116
810200000,2023-07-22,939000000,810200000,85,182
840000000,2023-07-23,928000000,802500000,91,166
930000000,2023-07-24,933000000,840100000,58,115
891271739.13,2023-07-25,919700000,841400000,56,92
899200000,2023-07-26,899500000,811400000,94,123
900190476.19,2023-07-27,904350000,899900000,66,84
900000000,2023-07-28,910000000,897400000,100,124
888755319.15,2023-07-29,914400000,840400000,75,94
911300000,2023-07-30,911800000,900000000,117,141
911650000,2023-07-31,912300000,838400000,76,110
912300000,2023-08-01,912400000,911700000,83,101
908000000,2023-08-02,909000000,905000000,80,106
908000000,2023-08-03,908700000,899600000,112,144
901184337.35,2023-08-04,909600000,840850000,65,83
909200000,2023-08-05,909550000,905000000,105,142
907500000,2023-08-06,909000000,846300000,120,162
907900000,2023-08-07,908650000,905000000,93,119
907400000,2023-08-08,915000000,843800000,126,224
899500000,2023-08-09,903100000,899000000,90,116
883345360.82,2023-08-10,900000000,834200000,69,97
900000000,2023-08-11,906150000,887700000,158,203
912900000,2023-08-12,914900000,895000000,134,208
916800000,2023-08-13,918500000,911900000,92,134
906278873.24,2023-08-14,919900000,899800000,60,71
910756250,2023-08-15,931100000,835500000,48,64
901424324.32,2023-08-16,911900000,834700000,57,74
